Weight;Word;Color [hex];URL
1;brown;;
1;whispers;;
1;others;;
1;tight;;
1;lay;;
1;sanders;;
1;mean;;
1;paperback;;
1;home;;
1;line;;
1;19;;
1;gracefully;;
1;nobody;;
1;hired;;
1;crashed;;
1;face;;
1;many;;
1;binding;;
1;young;;
1;meaning;;
1;woozle;;
1;getting;;
1;twelve;;
1;deep;;
1;133;;
1;lap;;
1;passages;;
1;foot;;
1;water;;
1;ready;;
1;entirely;;
1;methuen;;
1;thirty;;
1;look;;
1;top;;
1;ah;;
1;exciting;;
1;gold;;
1;81;;
1;try;;
1;heard;;
1;4052;;
1;crack;;
1;contents;;
1;education;;
1;believe;;
1;2004;;
1;five;;
1;somebody;;
1;oak-tree;;
1;friday;;
1;w8;;
1;growly;;
1;bound;;
1;catalogue;;
1;high;;
1;crawled;;
1;brought;;
1;co.;;
1;51;;
1;leads;;
1;imposed;;
1;awed;;
1;nose;;
1;quietly;;
1;6sa;;
